TIME,STOCK,STOCK2,FAI,,PE,,MEANALL,,MEANSP
131028,2133,21.33,13.1,,10.9,,15.11,,16.115
131029,2135,21.35,13.2,,10.9,,15.15,,16.125
131030,2126,21.26,13.1,,11.1,,15.15333333,,16.18
131031,2155,21.55,13.2,,11,,15.25,,16.275
131101,2139,21.39,13.1,,11,,15.16333333,,16.195
131104,2156,21.56,11.7,,11,,14.75333333,,16.28
131104,2139,21.39,11.6,,11.1,,14.69666667,,16.245
131106,2149,21.49,11.7,,11,,14.73,,16.245
131107,2136,21.36,11.6,,10.9,,14.62,,16.13
131108,2120,21.2,11.6,,10.8,,14.53333333,,16
131111,2103,21.03,15.7,,10.8,,15.84333333,,15.915
131112,2110,21.1,15.7,,10.9,,15.9,,16
131113,2117,21.17,15.7,,10.7,,15.85666667,,15.935
131114,2087,20.87,15.7,,10.8,,15.79,,15.835
131115,2100,21,15.7,,11,,15.9,,16
131118,2147,21.47,19.3,,11.3,,17.35666667,,16.385
131119,2198,21.98,19.3,,11.3,,17.52666667,,16.64
131120,2201,22.01,19.4,,11.3,,17.57,,16.655
131121,2197,21.97,19.3,,11.3,,17.52333333,,16.635
131122,2206,22.06,19.4,,11.3,,17.58666667,,16.68
131125,2186,21.86,15.6,,11.2,,16.22,,16.53
131126,2184,21.84,15.6,,11.2,,16.21333333,,16.52
131127,2181,21.81,15.6,,11.3,,16.23666667,,16.555
131128,2204,22.04,15.6,,11.4,,16.34666667,,16.72
131129,2221,22.21,15.7,,11.4,,16.43666667,,16.805
131202,2203,22.03,14,,11.4,,15.81,,16.715
121203,2196,21.96,14,,11.4,,15.78666667,,16.68
131204,2219,22.19,14,,11.6,,15.93,,16.895
131205,2252,22.52,14.1,,11.6,,16.07333333,,17.06
131206,2242,22.42,14.1,,11.5,,16.00666667,,16.96
131209,2241,22.41,8.7,,11.5,,14.20333333,,16.955
131210,2239,22.39,8.7,,11.5,,14.19666667,,16.945
131211,2228,22.28,8.7,,11.3,,14.09333333,,16.79
131212,2199,21.99,8.6,,11.3,,13.96333333,,16.645
131213,2188,21.88,8.6,,11.3,,13.92666667,,16.59
131216,2197,21.97,16.8,,11.1,,16.62333333,,16.535
131217,2161,21.61,16.8,,11,,16.47,,16.305
131218,2150,21.5,16.8,,11,,16.43333333,,16.25
131219,2153,21.53,16.8,,11,,16.44333333,,16.265
131220,2128,21.28,16.8,,10.7,,16.26,,15.99
131223,2089,20.89,12.9,,10.8,,14.86333333,,15.845
131224,2094,20.94,12.9,,10.8,,14.88,,15.87
131225,2095,20.95,12.9,,10.8,,14.88333333,,15.875
131226,2102,21.02,12.9,,10.7,,14.87333333,,15.86
131227,2074,20.74,12.9,,10.8,,14.81333333,,15.77
131230,2097,20.97,12.9,,10.8,,14.89,,15.885
131231,2115,21.15,12.9,,10.9,,14.98333333,,16.025
140102,2109,21.09,12.9,,10.9,,14.96333333,,15.995
140103,2083,20.83,12.9,,10.7,,14.81,,15.765
140106,2045,20.45,16.4,,10.5,,15.78333333,,15.475
140107,2047,20.47,16.4,,10.6,,15.82333333,,15.535
140108,2044,20.44,16.4,,10.5,,15.78,,15.47
140109,2027,20.27,16.4,,10.5,,15.72333333,,15.385
140110,2013,20.13,16.4,,10.4,,15.64333333,,15.265
140113,2009,20.09,14.1,,10.4,,14.86333333,,15.245
140114,2026,20.26,14.2,,10.5,,14.98666667,,15.38
140115,2023,20.23,14.1,,10.4,,14.91,,15.315
140116,2023,20.23,14.1,,10.4,,14.91,,15.315
140117,2004,20.04,14.1,,10.4,,14.84666667,,15.22
140120,1991,19.91,15,,10.3,,15.07,,15.105
140121,2008,20.08,15,,10.4,,15.16,,15.24
140122,2051,20.51,15,,10.6,,15.37,,15.555
140123,2042,20.42,15,,10.6,,15.34,,15.51
140124,2054,20.54,15,,10.6,,15.38,,15.57
140127,2033,20.33,11.8,,10.5,,14.21,,15.415
140128,2049,20.49,11.8,,10.5,,14.26333333,,15.495
140129,2033,20.33,11.8,,10.6,,14.24333333,,15.465
140130,2033,20.33,11.8,,10.5,,14.21,,15.415
140207,2044,20.44,11.9,,10.6,,14.31333333,,15.52
140210,2086,20.86,14.9,,10.8,,15.52,,15.83
140211,2103,21.03,15,,10.9,,15.64333333,,15.965
140212,2109,21.09,15,,10.9,,15.66333333,,15.995
140213,2098,20.98,15,,10.9,,15.62666667,,15.94
140214,2115,21.15,15,,11,,15.71666667,,16.075
140217,2135,21.35,12.8,,11.1,,15.08333333,,16.225
140218,2119,21.19,12.8,,11,,14.99666667,,16.095
140219,2142,21.42,12.9,,11.1,,15.14,,16.26
140220,2138,21.38,12.8,,11.1,,15.09333333,,16.24
140221,2113,21.13,12.8,,10.9,,14.94333333,,16.015
140224,2076,20.76,17.7,,10.8,,16.42,,15.78
140225,2034,20.34,17.7,,10.5,,16.18,,15.42
140226,2041,20.41,17.7,,10.6,,16.23666667,,15.505
140227,2047,20.47,17.7,,10.6,,16.25666667,,15.535
140228,2056,20.56,17.7,,10.7,,16.32,,15.63
140303,2075,20.75,15.9,,10.8,,15.81666667,,15.775
140304,2071,20.71,15.9,,10.7,,15.77,,15.705
140305,2053,20.53,15.8,,10.6,,15.64333333,,15.565
140306,2059,20.59,15.8,,10.7,,15.69666667,,15.645
140307,2057,20.57,15.8,,10.7,,15.69,,15.635
140310,1999,19.99,16,,10.4,,15.46333333,,15.195
140311,2007,20.07,16,,10.4,,15.49,,15.235
140312,1991,19.91,16,,10.3,,15.40333333,,15.105
140313,2019,20.19,16.1,,10.5,,15.59666667,,15.345
140314,2014,20.14,16,,10.4,,15.51333333,,15.27
140317,2023,20.23,18,,10.5,,16.24333333,,15.365
140318,2025,20.25,18,,10.5,,16.25,,15.375
140319,2021,20.21,17.9,,10.5,,16.20333333,,15.355
140320,1993,19.93,17.9,,10.4,,16.07666667,,15.165
140321,2047,20.47,18,,10.6,,16.35666667,,15.535
140324,2066,20.66,20.8,,10.7,,17.38666667,,15.68
140325,2067,20.67,20.8,,10.7,,17.39,,15.685
