131028,15.11
131029,15.15
131030,15.15
131031,15.25
131101,15.16
131104,14.75
131104,14.7
131106,14.73
131107,14.62
131108,14.53
131111,15.84
131112,15.9
131113,15.86
131114,15.79
131115,15.9
131118,17.36
131119,17.53
131120,17.57
131121,17.52
131122,17.59
131125,16.22
131126,16.21
131127,16.24
131128,16.35
131129,16.44
131202,15.81
121203,15.79
131204,15.93
131205,16.07
131206,16.01
131209,14.2
131210,14.2
131211,14.09
131212,13.96
131213,13.93
131216,16.62
131217,16.47
131218,16.43
131219,16.44
131220,16.26
131223,14.86
131224,14.88
131225,14.88
131226,14.87
131227,14.81
131230,14.89
131231,14.98
140102,14.96
140103,14.81
140106,15.78
140107,15.82
140108,15.78
140109,15.72
140110,15.64
140113,14.86
140114,14.99
140115,14.91
140116,14.91
140117,14.85
140120,15.07
140121,15.16
140122,15.37
140123,15.34
140124,15.38
140127,14.21
140128,14.26
140129,14.24
140130,14.21
140207,14.31
140210,15.52
140211,15.64
140212,15.66
140213,15.63
140214,15.72
140217,15.08
140218,15
140219,15.14
140220,15.09
140221,14.94
140224,16.42
140225,16.18
140226,16.24
140227,16.26
140228,16.32
140303,15.82
140304,15.77
140305,15.64
140306,15.7
140307,15.69
140310,15.46
140311,15.49
140312,15.4
140313,15.6
140314,15.51
140317,16.24
140318,16.25
140319,16.2
140320,16.08
140321,16.36
140324,17.39
140325,17.39
140326,17.38
140327,17.25
140328,17.24
140331,14.14
140401,14.22
140402,14.29
140403,14.18
140404,14.29
140408,14.73
140409,14.78
140410,14.91
140411,14.9
140414,14.87
140415,14.67
140416,14.72
140417,14.66
140418,14.66
140421,15.22
140422,15.27
140423,15.22
140424,15.16
140425,15.05
140428,15.38
140429,15.5
140430,15.55
140505,14.69
140506,14.69
140507,14.57
140508,14.62
140509,14.6
140512,14.44
140513,14.4
140514,14.39
140515,14.25
140519,14.29
140520,12.78
140521,12.79
140521,12.91
140522,12.9
140523,12.98
140526,13.27
140527,13.25
140528,13.3
140529,13.27
140530,13.26
140603,16.56
140604,16.48
140605,16.6
140606,16.53
140609,18.77
140610,18.91
140611,18.91
140612,18.87
140613,19
140616,15.18
140617,15.05
140618,15.02
140619,14.84
140620,14.85
140623,14.58
140624,14.64
140625,14.58
140626,14.66
140627,14.65
140630,15.89
140701,15.97
140703,16.03
140704,16.04
140704,16.03
140707,18.46
140708,18.48
140709,18.36
140710,18.36
140711,18.42
140714,15.89
140715,15.97
140716,15.96
140717,15.85
140718,15.86
140721,14.88
140722,14.98
140723,14.99
140724,15.12
140725,15.22
140728,15.39
140729,15.44
140730,15.4
140731,15.54
140801,15.45
140804,18.54
140805,18.53
140806,18.52
140807,18.36
140808,18.41
140811,16.85
140812,16.84
140813,16.84
140814,16.75
140815,16.85
140818,16.06
140819,16.08
140820,16.07
140821,16.03
140822,16.07
140825,18.83
140826,18.72
140827,18.73
140828,18.53
140829,18.76
140901,17.85
140902,17.99
140903,18.09
140904,18.19
140905,18.29
140909,16.58
140910,16.59
140911,16.57
140912,16.67
140915,17.76
140916,17.59
140917,17.62
140918,17.65
140919,17.73
140922,17.03
140923,17.13
140924,17.31
140925,17.32
140926,17.32
140929,18.72
140930,18.74
141008,21.84
141009,21.86
141010,21.81
141013,23.65
141014,23.63
141015,23.71
141016,23.62
141017,23.54
141020,17.22
141021,17.13
141022,17.05
141023,16.94
141024,16.94
141027,16.3
141028,16.52
141029,16.71
141030,16.8
141031,16.93
141103,21.13
141104,21.17
141105,21.1
141106,21.12
141107,21.09
141110,18.01
141111,18
141112,18.11
141113,18.08
141114,18.03
141117,19.81
141118,19.72
141119,19.7
141120,19.71
141121,19.89
141124,18.77
141125,18.96
141126,19.11
141127,19.27
141128,19.51
141201,24.33
141202,24.74
141203,24.83
141204,25.43
141205,25.62
141208,27.1
141209,26.29
141210,26.7
141211,26.62
141212,26.69
141215,23.18
141216,23.54
141217,23.74
141218,23.72
141219,23.96
141222,23.19
141223,22.71
141224,22.41
141225,22.91
141226,23.36
141229,23.39
141230,23.38
141231,23.75
150105,24.6
150106,24.64
150107,24.74
150108,24.34
150109,24.32
150112,20.86
150113,20.92
150114,20.84
150115,21.42
150116,21.62
150119,24.25
150120,24.54
150121,25.28
140122,25.38
150123,25.44
140126,25.58
150127,25.44
150128,25.18
150129,24.97
150130,24.73
150202,21.23
150203,21.61
150204,21.45
150205,21.25
150206,20.95
150209,20.32
150210,20.54
150211,20.56
150212,20.71
150213,20.88
150216,20.81
150217,20.92
150225,24.93
150226,25.26
150227,25.33
150302,25.42
150303,25.08
150304,25.13
150305,24.99
150306,24.97
150309,22.67
150310,22.59
150311,22.6
150312,22.9
150313,23.04
150316,27.56
150317,27.84
150318,28.22
150319,28.24
150320,28.42
150323,26.02
150324,26.04
150325,25.9
150326,26.01
150327,26.04
150330,26.09
150331,25.89
150401,26.23
150402,26.28
150403,26.48
150407,25.47
150408,25.65
150409,25.46
150410,25.85
150413,27.44
150414,27.48
