13.1,402,2133
13.2,391,2135
13.1,429,2126
13.2,384,2155
13.1,417,2139
11.7,383,2156
11.6,410,2139
11.7,387,2149
11.6,384,2136
11.6,383,2120
15.7,407,2103
15.7,407,2110
15.7,370,2117
15.7,413,2087
15.7,447,2100
19.3,451,2147
19.3,403,2198
19.4,396,2201
19.3,409,2197
19.4,380,2206
15.6,398,2186
15.6,397,2184
15.6,423,2181
15.6,417,2204
15.7,382,2221
14,393,2203
14,423,2196
14,433,2219
14.1,390,2252
14.1,399,2242
8.7,398,2241
8.7,389,2239
8.7,371,2228
8.6,389,2199
8.6,409,2188
16.8,364,2197
16.8,389,2161
16.8,403,2150
16.8,375,2153
16.8,361,2128
12.9,405,2089
12.9,401,2094
12.9,407,2095
12.9,372,2102
12.9,423,2074
12.9,418,2097
12.9,394,2115
12.9,374,2109
12.9,362,2083
16.4,402,2045
16.4,397,2047
16.4,383,2044
16.4,386,2027
16.4,396,2013
14.1,417,2009
14.2,397,2026
14.1,400,2023
14.1,381,2023
14.1,387,2004
15,417,1991
15,443,2008
15,391,2051
15,412,2042
15,379,2054
11.8,416,2033
11.8,384,2049
11.8,400,2033
11.8,411,2033
11.9,442,2044
14.9,417,2086
15,406,2103
15,389,2109
15,417,2098
15,420,2115
12.8,384,2135
12.8,423,2119
12.9,396,2142
12.8,375,2138
12.8,363,2113
17.7,358,2076
17.7,407,2034
17.7,406,2041
17.7,409,2047
17.7,419,2056
15.9,396,2075
15.9,382,2071
15.8,406,2053
15.8,398,2059
15.8,342,2057
16,408,1999
16,384,2007
16,428,1991
16.1,395,2019
16,409,2014
18,402,2023
18,396,2025
17.9,372,2021
17.9,454,1993
18,419,2047
20.8,401,2066
20.8,396,2067
20.8,383,2063
20.7,395,2046
20.7,392,2041
11.5,414,2033
11.5,411,2047
11.6,385,2058
11.5,415,2043
11.6,440,2058
12.3,407,2098
12.3,429,2105
12.3,396,2134
12.3,401,2130
12.2,370,2131
12.1,404,2101
12.1,393,2105
12.1,399,2098
12.1,368,2097
14.2,407,2065
14.3,395,2072
14.2,390,2067
14.2,379,2057
14.2,367,2036
15.7,417,2003
15.8,406,2020
15.8,401,2026
14.2,401,2027
14.2,382,2028
14.1,405,2010
14.1,396,2015
14.1,441,2011
13,398,2052
13,397,2050
13,377,2047
12.9,402,2024
13,379,2026
8.8,403,2005
8.8,416,2008
8.9,397,2024
8.9,413,2021
8.9,407,2034
9.7,393,2041
9.7,416,2034
9.7,390,2050
9.7,399,2040
9.7,399,2039
19.6,386,2038
19.6,416,2024
19.7,389,2040
19.6,401,2029
26.3,422,2030
26.4,402,2052
26.4,397,2054
26.3,419,2051
26.4,415,2070
14.8,381,2085
14.7,389,2066
14.7,368,2055
14.7,403,2023
14.7,398,2026
13.9,409,2024
13.9,392,2033
13.9,413,2025
13.9,398,2038
13.9,402,2036
17.6,412,2038
17.6,409,2050
17.7,404,2059
17.7,396,2063
17.7,400,2059
25,405,2059
25,374,2064
25,400,2038
25,408,2038
25,420,2046
17.2,404,2066
17.3,397,2070
17.3,388,2067
17.2,404,2055
17.2,395,2059
14.3,421,2054
14.3,403,2075
14.3,427,2078
14.3,421,2105
14.3,451,2126
14,406,2177
14.1,398,2183
14,420,2181
14.1,384,2201
14.1,438,2185
22.8,396,2223
22.8,398,2219
22.8,370,2217
22.8,407,2187
22.8,430,2194
17.7,397,2224
17.7,401,2221
17.7,384,2222
17.7,420,2206
17.7,413,2226
15.1,406,2239
15.1,395,2245
15.1,390,2240
15.1,410,2230
15.1,389,2240
23.5,378,2229
23.5,402,2207
23.5,350,2209
23.5,458,2159
23.5,418,2217
20.5,431,2235
20.5,422,2266
20.5,418,2288
20.5,420,2306
20.5,389,2326
15.5,403,2315
15.5,393,2318
15.5,420,2311
15.5,408,2331
18.7,357,2339
18.7,411,2296
18.7,408,2307
18.7,414,2315
18.7,360,2329
17.2,420,2289
17.2,434,2309
17.2,402,2343
17.2,402,2345
17.2,410,2347
21.2,406,2357
21.2,419,2363
30.2,407,2382
30.2,385,2389
30.2,392,2374
35.9,393,2366
35.9,414,2359
35.9,383,2373
35.9,385,2356
35.9,415,2341
16.7,383,2356
16.7,387,2339
16.7,376,2326
16.7,400,2302
16.7,388,2302
14.9,447,2290
14.9,436,2337
14.9,418,2373
14.9,429,2391
14.9,410,2420
27.4,400,2430
27.4,389,2430
27.4,406,2419
27.4,393,2425
27.4,455,2418
17.3,396,2473
17.3,425,2469
17.3,391,2494
17.3,393,2485
17.3,396,2478
22.7,382,2474
22.7,394,2456
22.7,402,2450
22.7,434,2452
22.7,446,2486
18.7,435,2532
18.7,437,2567
18.7,426,2604
18.7,452,2630
18.7,398,2682
33.2,483,2680
33.2,416,2763
33.2,520,2779
33.2,438,2899
33.2,483,2937
36.3,236,3020
36.3,484,2856
36.3,385,2940
36.3,413,2925
36.3,415,2938
25.6,468,2953
25.6,440,3021
25.6,396,3061
25.6,451,3057
25.6,419,3108
23,305,3127
23,340,3032
23,500,2972
23,485,3072
23,411,3157
23,397,3168
23,469,3165
23,516,3234
23.9,401,3350
23.9,422,3351
23.9,320,3373
23.9,392,3293
23.9,344,3285
14.4,406,3229
14.4,387,3235
14.4,514,3222
14.4,440,3336
14.4,140,3376
26.2,457,3116
26.2,550,3173
26.2,420,3323
26.2,408,3343
26.2,432,3351
26.2,369,3383
26.2,353,3352
26.2,357,3305
26.2,348,3262
26.2,318,3210
16.9,476,3128
16.9,370,3204
16.9,362,3174
16.9,339,3136
16.9,420,3075
14.7,446,3095
14.7,398,3141
14.7,434,3139
14.7,430,3173
14.7,419,3203
14.2,424,3222
14.2,382,3246
26.4,470,3228
26.4,412,3298
26.4,426,3310
26.3,327,3336
26.3,416,3263
26.3,369,3279
26.3,393,3248
26.3,461,3241
18.5,384,3302
18.5,404,3286
18.5,459,3290
18.5,423,3349
18.5,477,3372
31,453,3449
31,475,3502
31,405,3577
31,435,3582
31,470,3617
22.7,404,3687
22.7,369,3691
22.7,422,3660
22.7,409,3682
22.7,495,3691
21.4,361,3786
21.4,463,3747
21.4,415,3810
21.4,438,3825
21.4,498,3863
16.9,433,3961
16.9,363,3994
16.9,477,3957
16.9,487,4034
20.3,414,4121
20.3,349,4135
20.3,510,4084
20.3,493,4194
20.3,330,4287
24,476,4217
24,505,4293
24,416,4398
24,379,4414
24,534,4393
33.3,349,4527
33.3,400,4476
33.3,365,4476
33.3,439,4441
26.9,218,4480
26.9,331,4298
26.9,283,4229
26.9,493,4112
26.9,528,4205
35.4,468,4333
35.4,374,4401
35.4,403,4375
35.4,330,4378
35.4,375,4308
24.7,534,4283
24.7,429,4417
24.7,483,4446
24.7,528,4529
24.7,556,4657
26.5,497,4813
26.5,431,4910
26.5,79,4941
26.5,391,4620
26.5,617,4611
17.8,482,4828
17.8,399,4910
